"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R66","RESC0402","8.6mm","-6.35mm","8.6mm","-6.35mm","9.1mm","-6.35mm","T","180.00","0R"
"C68","CAPC100X50X65","38.5mm","-14.25mm","38.5mm","-14.25mm","39.105mm","-14.25mm","T","180.00","100n"
"C67","CAPC100X50X65","42.4mm","-14.25mm","42.4mm","-14.25mm","41.795mm","-14.25mm","T","360.00","10u"
"C66","CAPC100X50X65","19.6mm","-6.55mm","19.6mm","-6.55mm","20.205mm","-6.55mm","T","180.00","10u"
"C65","CAPC100X50X65","43.4mm","-7.5mm","43.4mm","-7.5mm","42.795mm","-7.5mm","T","360.00","100n"
"U6","CIRRUS_LOGIC_WM8960CGEFL-V_0","-13.1mm","0.1555mm","-13.1mm","0.15mm","-15.415mm","1.9001mm","T","0.00","WM8960CGEFL"
"J2","CONN_0522711279","-41.49mm","-0.03mm","-41.49mm","-0.03mm","-40.315mm","-5.53mm","B","90.00","0522071233"
"Y2","OSC_XRCGB27M120F3M00R0","-36mm","-5.95mm","-36mm","-5.95mm","-36.5mm","-5.275mm","T","360.00","27.12Mhz"
"Y1","OSC_SG-210STF_24.0000ML0","-15.6mm","-7.75mm","-15.6mm","-7.75mm","-16.45mm","-8.4mm","T","360.00","24Mhz"
"U10","QFN50P500X500X100-33N","-38.6mm","-0.15mm","-38.6mm","-0.15mm","-36.85mm","2.3mm","T","270.00","MFRC52201HN1,151"
"U8","XDCR_CMM-3722AT-42116-TR","-42mm","-11.25mm","-42mm","-11.25mm","-43.33mm","-10.675mm","T","90.00","CMM-3722AT-42116-TR"
"U7","XDCR_CMM-3722AT-42116-TR","-42mm","11.25mm","-42mm","11.25mm","-43.33mm","11.825mm","T","90.00","CMM-3722AT-42116-TR"
"U5","XDCR_LIS3MDLTR","38.21mm","8.7675mm","38.21mm","8.7675mm","37.46mm","8.005mm","T","90.00","U_magnetic_sensor_LIS3MDLTR"
"U4","PQFN50P300X250X86-14N","38.2mm","2.15mm","38.2mm","2.15mm","37.45mm","0.99mm","T","90.00","LSM6DSOXTR"
"U3","VREG_V62/16624-01YE","28mm","6.65mm","28mm","6.65mm","27mm","5.25mm","T","90.00","TPS61230DRCR"
"U2","QFN50P400X400X100-25N","16.4mm","6.75mm","16.4mm","6.75mm","14.4875mm","8mm","T","360.00","BQ24296M"
"U1","LED_WS2812B-B","-32mm","0mm","-32mm","0mm","-30.35mm","2.45mm","T","270.00","LED_WS2812B-B"
"R65","RESC0402","-47.7mm","-3.35mm","-47.7mm","-3.35mm","-47.2mm","-3.35mm","T","180.00","0R"
"R64","RESC0402","-47.9mm","2.95mm","-47.9mm","2.95mm","-48.4mm","2.95mm","T","360.00","0R"
"R63","RESC0402","-43.1mm","-6.25mm","-43.1mm","-6.25mm","-42.6mm","-6.25mm","T","180.00","820R"
"R62","RESC0402","19.2mm","-4.55mm","19.2mm","-4.55mm","19.2mm","-4.05mm","T","270.00","100k"
"R61","RESC0402","-45.2mm","-6.25mm","-45.2mm","-6.25mm","-44.7mm","-6.25mm","T","180.00","5.1K"
"R60","RESC0402","-32.3mm","-5.25mm","-32.3mm","-5.25mm","-32.3mm","-5.75mm","T","90.00","0R"
"R59","RESC0402","-31.1mm","-5.25mm","-31.1mm","-5.25mm","-31.1mm","-5.75mm","T","90.00","0R"
"R58","RESC0402","-29.9mm","-5.25mm","-29.9mm","-5.25mm","-29.9mm","-5.75mm","T","90.00","0R"
"R57","RESC0402","11.6mm","-4.35mm","11.6mm","-4.35mm","12.1mm","-4.35mm","T","180.00","1M"
"R56","RESC0402","14mm","-2.45mm","14mm","-2.45mm","14mm","-1.95mm","T","270.00","10K"
"R55","RESC0402","4.6mm","-2.35mm","4.6mm","-2.35mm","4.6mm","-2.85mm","T","90.00","1K"
"R54","RESC0402","16.9mm","-4.35mm","16.9mm","-4.35mm","16.4mm","-4.35mm","T","360.00","1M"
"R53","RESC0402","19.2mm","-2.45mm","19.2mm","-2.45mm","19.2mm","-1.95mm","T","270.00","10K"
"R52","RESC0402","3.5mm","-2.35mm","3.5mm","-2.35mm","3.5mm","-2.85mm","T","90.00","47.5k"
"R51","RESC0402","2.4mm","-2.35mm","2.4mm","-2.35mm","2.4mm","-1.85mm","T","270.00","22.1k"
"R48","RESC0402","-7.6mm","-2.65mm","-7.6mm","-2.65mm","-7.1mm","-2.65mm","T","180.00","0R"
"R47","RESC0402","-7.6mm","-3.85mm","-7.6mm","-3.85mm","-7.1mm","-3.85mm","T","180.00","0R"
"R46","RESC0402","-10.7mm","-4.45mm","-10.7mm","-4.45mm","-10.7mm","-4.95mm","T","90.00","0R"
"R45","RESC0402","-9.6mm","-4.45mm","-9.6mm","-4.45mm","-9.6mm","-4.95mm","T","90.00","0R"
"R44","RESC0402","-11.8mm","-4.45mm","-11.8mm","-4.45mm","-11.8mm","-4.95mm","T","90.00","0R"
"R43","RESC0402","-12.9mm","-4.45mm","-12.9mm","-4.45mm","-12.9mm","-4.95mm","T","90.00","0R"
"R42","RESC0402","-14mm","-4.45mm","-14mm","-4.45mm","-14mm","-4.95mm","T","90.00","0R"
"R41","RESC0402","39.2mm","-1.05mm","39.2mm","-1.05mm","39.2mm","-1.55mm","T","90.00","0R"
"R40","RESC0402","37.9mm","-1.05mm","37.9mm","-1.05mm","37.9mm","-1.55mm","T","90.00","0R"
"R39","RESC0402","38.1mm","4.65mm","38.1mm","4.65mm","37.6mm","4.65mm","T","360.00","0R"
"R38","RESC0402","40.5mm","-1.05mm","40.5mm","-1.05mm","40.5mm","-1.55mm","T","90.00","0R"
"R37","RESC0402","38.1mm","11.95mm","38.1mm","11.95mm","38.1mm","12.45mm","T","270.00","10K"
"R35","RESC0402","36.6mm","-1.05mm","36.6mm","-1.05mm","36.6mm","-1.55mm","T","90.00","10K"
"R31","RESC0402","35.4mm","0.85mm","35.4mm","0.85mm","34.9mm","0.85mm","T","360.00","0R"
"R30","RESC0402","35.4mm","2.05mm","35.4mm","2.05mm","34.9mm","2.05mm","T","360.00","0R"
"R29","RESC0402","35.6mm","7.65mm","35.6mm","7.65mm","35.1mm","7.65mm","T","360.00","0R"
"R28","RESC0402","35.6mm","8.85mm","35.6mm","8.85mm","35.1mm","8.85mm","T","360.00","0R"
"R27","RESC0402","35.4mm","3.25mm","35.4mm","3.25mm","35.9mm","3.25mm","T","180.00","10K"
"R26","RESC0402","36.9mm","11.95mm","36.9mm","11.95mm","36.9mm","11.45mm","T","90.00","10K"
"R25","RESC0402","31.3mm","5.15mm","31.3mm","5.15mm","31.8mm","5.15mm","T","180.00","1M"
