Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
CL05A106MP5NUNC,12,Samsung,CL05A106MP5NUNC,https://octopart.com/cl05a106mp5nunc-samsung-22457395,"Multilayer Ceramic Capacitor, 10 uF, 10 V, ± 20%, X5R, 0402 [1005 Metric]",CAP CER 10UF 10V X5R 0402,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12",,,22w,Compliant,12,1276-1450-1-ND,187-CL05A106MP5NUNC,82AC9189,,,Cut Tape,Tape & Reel,,,,0.126,0.079,0.07,,,1443541,3652909,22932,,,1,1,1,,,https://octopart.com/opatz8j6/a1?t=ZX8O2fkCvXgRFiTmrO06xhHRRxhOkwtueBZnr6ZPPNtz4BWndTfewKr4oEdKvxRXQTeYRWWwHsjmK1ijVwgCD1s_DzaGPM6sBBO0oa6-TFGN3XKQSldhGVHbQuF_Kucq195bmLbFMYgDkabDjISvIBe3_yPENu4OTT44jkwXaB2K1Y1mOnqy9e-e_G5deRaZnZSMUeUGuseRrmUfzuMtcwDemW0-cCpebuOvlEtjygznMiJBhbkoVrfZjCe3X0Ljlua4,https://octopart.com/opatz8j6/a1?t=N6aYWvG09RmJ6W_lcNVY7-7H-_nnmldOi_6e7m8y0otCHN_ujkvtD92z-ZxcF78r0KXCUQLRJRIZ6EU5_xiD8JNPBr2ESjh5qLmsCulxbvo4486qpEN2vpPBLM-OCeCiSUetEFMHhSecZcQKTbxcEb6rVFSR5Tah1D1Rzs4f5B1TRN7LGZfiKxJwegYjMFuQO-ucgnBVpmdj6AlQpIa8dKf8Rkj7lVLPLesPt7RFj5jwSg3mz6Qt6WJmLLw8RHXcUN0lfhA,https://octopart.com/opatz8j6/a1?t=bnDXesfPGdZJM-DGcHPJiCotuJ39HLjGQ4rr4YVgu1zIbguOI1Lb0l_nEUB0Mql3I_i_8f6bawBjS1Qx1xMIxgKN9DUUWCC47SM_OS6cE0S-dzFIfGcJJ9IuVdjjsiSADeGq9DdHhRvJLucfwMRv09jlcX_IS2n96h8H5LpnuH-jW6yfm4wWNtNWyTvgC-YkNjG6mZuIsX2wfY0oPQXGHQV78kIhsfCMHczF5teE4k-rQj0EhH88mN6ERq-74Gnww_yZJRM,,,Newark,82AC9189,,0.07,0.8400000000000001,0.8400000000000001,22932,1,https://octopart.com/opatz8j6/a1?t=bnDXesfPGdZJM-DGcHPJiCotuJ39HLjGQ4rr4YVgu1zIbguOI1Lb0l_nEUB0Mql3I_i_8f6bawBjS1Qx1xMIxgKN9DUUWCC47SM_OS6cE0S-dzFIfGcJJ9IuVdjjsiSADeGq9DdHhRvJLucfwMRv09jlcX_IS2n96h8H5LpnuH-jW6yfm4wWNtNWyTvgC-YkNjG6mZuIsX2wfY0oPQXGHQV78kIhsfCMHczF5teE4k-rQj0EhH88mN6ERq-74Gnww_yZJRM,
GRM155R61E104KA87D,2,Murata,GRM155R61E104KA87D,https://octopart.com/grm155r61e104ka87d-murata-17998951,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 0.10uF 25volt X5R +/-10%,CAP CER 100nF 25V X5R 0402,"C23, C24",,NRND (Last Updated: 3 weeks ago),23w,Compliant,2,490-5920-1-ND,81-GRM155R61E104KA7D,45Y5199,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,7647194,2805750,0,,,1,1,10,,,https://octopart.com/opatz8j6/a1?t=ykda_WBSz6inrtw7NQOSWBQDldqmFo9skov-yvIefqcBtaxWFf012QobnZf3jDPv3kbdg6tPyO_-CzLL-V8frFYOUSipnhICtl0FKdBya1DUBnw27bVolcDmP8C-UP-SNgR6cfiF7Ygg16HSs7esmYnbsdNhoA6X8pD-JieYDc9raf50oP59L63Pw-sVHCIorHazftfOvKo24sG7LeIeInr8TspvxNweJjq7h2FI8DtFA-Lhyz2qjLPo49lHtgoFdvI2,https://octopart.com/opatz8j6/a1?t=rSqXUomsox4nhIbYpsgnIWAJQ2aJk5sy0W_PS6I88zyk-bPvMbwfmbk_ykHgqDJCkuXWs_52Wu5Pgb_-e_5X7yd1yk5fNs507eITN2JeNSheye0OMedAttNoiATc8ujAKGqnCTU8LChnINBrPRzqnMpmcTozJ8b6bWed3Su2h4YS54l9Zgt7ksv1HqbPZFmS-sbBl08btJseMi7Ic7HERQFMDXwJRjG1z3eKUTivh74m9-UhvGMSIsfndCChqAWYT2C0qA,https://octopart.com/opatz8j6/a1?t=ciuTciWWBxsywQHG5cniZxFV0wjnKcKprgxIg38cEpPsGWHukH6U2J7QhFUjljA-kXGIWdwCIZ-o1Mfs0Y6zWCD4D242Juu5OPu8yQ4qJ6NuX0znEM1qm7IHw2Y7Xj8pRhEkbDbQfT_Gg4dsbd6QZdB_LvIgMakG-e6X6Bns0pTMO1ntFAox6Ok81lZornurQWvcT_pC_EzbmE7Oo3BD1IdGJG_nz10tPiwH8aVaPEsR6EarfOUOOdVY4q1TuGgbJYdBmMo,,,Mouser,81-GRM155R61E104KA7D,Tape & Reel,0.1,0.2,0.2,2805750,1,https://octopart.com/opatz8j6/a1?t=rSqXUomsox4nhIbYpsgnIWAJQ2aJk5sy0W_PS6I88zyk-bPvMbwfmbk_ykHgqDJCkuXWs_52Wu5Pgb_-e_5X7yd1yk5fNs507eITN2JeNSheye0OMedAttNoiATc8ujAKGqnCTU8LChnINBrPRzqnMpmcTozJ8b6bWed3Su2h4YS54l9Zgt7ksv1HqbPZFmS-sbBl08btJseMi7Ic7HERQFMDXwJRjG1z3eKUTivh74m9-UhvGMSIsfndCChqAWYT2C0qA,
SFH 4045N,1,Osram Opto,SFH 4045N,https://octopart.com/sfh+4045n-osram+opto-31120854,Infrared Emitter 950nm 90mW/sr Circular Top Mount 2-Pin SMD T/R,"Infrared (IR) Emitter 950nm 1.6V 70mA 90mW/sr @ 70mA 18Â° 2-SMD, No Lead",D1,,Production (Last Updated: 2 years ago),14w,Compliant,1,,720-SFH4045N,,,8768729P,,Tape & Reel,,,,,0.66,,,,,14499,,,0,,1,,,25,,https://octopart.com/opatz8j6/a1?t=Yarl3_AJpSSNvd80ME4WvyI-fctY8qtu4g6RScnojVPGUerOPNHlG8Rc6Kqigq8gBJGv3_4yIKhHaG23E_4-CQiYfWZezyoDWjD2Yeo_jNyD7_xqe-c85FsGoebfrS4Cxzd9Qg-2tD19ZEYxKiPtJJr6bXeOEQIbvZ8IcwSApF7D4aICGhSlIycf7f_1JCU8DXx9z1VAJifFtoREdjpYNT23FCaQab2Cjw9dvHDvi-TenAjCYVqtgXDh0zSjh4QSY8X28yw,,,https://octopart.com/opatz8j6/a1?t=gcUyM0d9jI7mEHFqPGPAPQ9xlLGCX0dwEGq6kw3T4fAihDHjfkfUZTHiZOJc3j33fQoJDZuS9MrbY7BAYUoBoAKh1bxoyfCAyZYEwcs6k0peVX0K09o1IptHG-maWatpQ9brGTnRvte7Sr_lvFcdIMIL8Uast1VdzzODkpu5iw0nuBJe62tWsmCOWMtFa2a9lJmDIe7ER_ApjODdvstQUMHgE_vTBmGcRDKHab6FKNpwCW7Bbqi3Kq2hfd5UDTPK22JROfz_,Mouser,720-SFH4045N,Tape & Reel,0.66,0.66,0.66,14499,1,https://octopart.com/opatz8j6/a1?t=Yarl3_AJpSSNvd80ME4WvyI-fctY8qtu4g6RScnojVPGUerOPNHlG8Rc6Kqigq8gBJGv3_4yIKhHaG23E_4-CQiYfWZezyoDWjD2Yeo_jNyD7_xqe-c85FsGoebfrS4Cxzd9Qg-2tD19ZEYxKiPtJJr6bXeOEQIbvZ8IcwSApF7D4aICGhSlIycf7f_1JCU8DXx9z1VAJifFtoREdjpYNT23FCaQab2Cjw9dvHDvi-TenAjCYVqtgXDh0zSjh4QSY8X28yw,
VLMU3100-GS08,1,Vishay,VLMU3100-GS08,https://octopart.com/vlmu3100-gs08-vishay-45543855,LED Uni-Color Ultraviolet 405nm 2-Pin PLCC T/R,Ultraviolet (UV) Emitter 405nm 3.2V 30mA 2.5mW/sr @ 20mA 120° 2-PLCC,D2,,,14w,Compliant,1,VLMU3100-GS08CT-ND,78-VLMU3100-GS08,47W0022,,8184462,Cut Tape,Tape & Reel,,,,0.74,0.64,0.68,,,109052,30835,9063,,3020,1,1,1,,10,https://octopart.com/opatz8j6/a1?t=5Pf958X4FNVmX8cBahFauM0BcKrgvRGi67erFSXNXCqeaRJNH4YXzH-GnzHSuPn5l1KrquuWw1oDRYizE5u1QzReA-KZ9OzWGNqDx1MHvjK9GtjnXFG8XGweDAeePUuZBr3NZ0vvoqjHubr4h_vXUV7tn6XdVH1jt-mOISXyiFY6NM77ZuRUTkClPsbJVtNrcukFwi_kBcmuflkuSJnCmliaVF0SY-orPjpMT0GRXHt07AfMVyWxe0nporzqncPUiJhc,https://octopart.com/opatz8j6/a1?t=h3OfiXd5_XTZZTeGWW9pbFjys6aYXA0HXtpf7T44jVpBH9S-KyOumVvNA4A5LPdyR2YiBQMT999Iy0zt_G4BpkyCFSnWdfUx00IEQE5JwFMdnm6B_-WofSnOa6BfvJ5mVu-grm48LbJUaNm3Lu2M5oN6mtoC9ONv1bpS9WZpmGlYI6v-f-rYyNQU5jM_yIOjNPqEKikbWsiF05AINBuohdhaJ8RyoidwK3taeFa5F2b0ayzuGpyMPeBovBz1CBEZ1DU7jP4,https://octopart.com/opatz8j6/a1?t=30lhoRF-WN92nnyo_vv2LDDCJuknVjnj1vTINyDg-FdiGp-AspC3b3wPadZpqgBhwFRuxA3A8htXzhWeu6vn-hgsZb6o4M2CBUQ04FCzLpNkgDPdqUf9ET6J9DXyzJBuMJLUmpP72cpq7Kh2A6m807jNbVFuZsu251aO_e87JJV8dlIuwy4LZp-vBpMN4ukb_eV22N_8uLBSEMNCOuDaY6H5MyP5Fz2K5l_Ps7TidEqe2u_pCuh7D-6EpQApSYHtFjyVdLI,,https://octopart.com/opatz8j6/a1?t=Qm3dBMpn8jI9fS8cdZkqRfav7kz1yIvkn-p3PPdDF01fwoXmX_wzlZ0WuM4akjxlzc5dLwPLaKgdElEFNknri61QGUzjElLV3oYyUMnG6rb5ME5sPleHluq-g0b_vSzyIMEbiePPF5PQQoLirfqE5QJpVXcZ3lkj8XZPW2CkMz7HaJdmz73xYUMhAkjJEb0bOIm2LlBTciES1Zorbb4y77Spjf1AQqv62Gs483Y-fR6Sbu8IBr8-nzEr2R_dJITb3nWPt5zy,Mouser,78-VLMU3100-GS08,Tape & Reel,0.64,0.64,0.64,30835,1,https://octopart.com/opatz8j6/a1?t=h3OfiXd5_XTZZTeGWW9pbFjys6aYXA0HXtpf7T44jVpBH9S-KyOumVvNA4A5LPdyR2YiBQMT999Iy0zt_G4BpkyCFSnWdfUx00IEQE5JwFMdnm6B_-WofSnOa6BfvJ5mVu-grm48LbJUaNm3Lu2M5oN6mtoC9ONv1bpS9WZpmGlYI6v-f-rYyNQU5jM_yIOjNPqEKikbWsiF05AINBuohdhaJ8RyoidwK3taeFa5F2b0ayzuGpyMPeBovBz1CBEZ1DU7jP4,
0522711279,1,Molex,52271-1279,https://octopart.com/52271-1279-molex-2350014,FFC-FPC (SMT) (52271) Lower Surface Contact Type (Molex),CONN FPC BOTTOM 12POS 1.00MM R/A,J2,,Production (Last Updated: 2 years ago),17w,Compliant,1,WM7960CT-ND,538-52271-1279,98K9766,52271-1279,2076866,Cut Tape,Tape & Reel,,Bulk,,1.69,1.54,1.57,,,48,2313,14,5405,0,1,1,1,1000,5,https://octopart.com/opatz8j6/a1?t=gCb2E-DGRBpZFc6wI1z36wvLiZHkZT_2L7i-JssItJDL6AmhV9pTx1FVsILmadbMi6PX_J-2gJ50kFmg0khBvnY5SwJDpDkkH4CmTdc8jMSY4WhfiUQVWaBCXG8oXaClx-qTmGhgxe5z0f_35v1t7QeO2W9zvkhhArwYJfFOWBa7u7j-194h4LQSc6mtTN59BFGKLcokdosFlRH9AAMBQc2JCogsxtrMgVf4MVX2mCJYe87XR4fRaoSqEpfAEnvchhQ,https://octopart.com/opatz8j6/a1?t=NyUrvs6fBcf2v-4bFWn1d2shVFqcTNet49S2tlZwJCirKwquU7nTqsVwCeWY6z2oY6uVftzTYa5hiZ-67oBTG_PQXC-C1Xh27OOPcJoVMuBAslPHCIn-y7bztazj2yYHxFlCJc6LU4Z4kX-GIzTRMwO7tASq_rfwUS9FsG7S_zb4HEh7AF8-xDuipsADtIODUNXhgPfkKQwZqXcC2HYS9a9Wnf7cEH-KmuXTS0L-fGmmtSGt7LasuCmrJbn-E1L_bikn,https://octopart.com/opatz8j6/a1?t=_hYl4Qn0XuUN-b3SUs7aeMThjqoeY50tiyWTQALacXMKi4C577In3N_DpTFGKVEhpSi6YC7c2dXrGMSzKNfAzmt4ixb3uy79lCCzybOBkHyXQpkUGeg6odFU_t8qrUbU_TlgjvT3JUWbk4SQxeQsThYxmNfWSpRMypW-zYlqSlh6rwRiQBbVoHkJXbXr3dKqH3JU12hXKQ1LKIEmAm7jHx3VF2MEronX50vEWXI_L-0DxwF6xAo56nDnbuBD8owZgugFxQ,https://octopart.com/opatz8j6/a1?t=jcjbOELMDwSUlYtx9cHcbrYc6Y5Xf7SEmp3YNJuRmVn4qYS1_LXykFAV0xVCndlKpqqEw7D0SSGYkGFeu27_WSNEZE4E0rZSFgDJ8hLKAbderH-P7fclgcKYfPjVgALmceMtjF6drTGPjP_nrfC5CeExsZRmgt8LrRbsCcEtpU2D8ONh8Z1P18Jo9sTn-aln1XEzxElxzExmefLYRo0AI4lBxja00beH_OgF67I1gwg-dr6sg4_9xIrx4LWoFH_3AHEpkw,https://octopart.com/opatz8j6/a1?t=OFnzffvx8uWU-5UVstuRdLOzAz-to-WT9xseCIXThRKmh6XhKeAAy2ye0G6MFzatX4LtPGGm7Hw3A_1pSzVCHIYd0pkf3aWzsqYK-h-2C9u9dG3jHc4Ggfst68DMEuo77L6SAT42C5t9IeLiIEm6DVPdxp3QpI1Lppra5daJtVvNtm4jG7dPCFnA9dkwLhocnM-vEjapIly8Za-Xxx8ab4vldi7q2TqGAgGHgp121hETyGOphlFQmyNZYc1v5Ie561yioag,Mouser,538-52271-1279,Tape & Reel,1.54,1.54,1.54,2313,1,https://octopart.com/opatz8j6/a1?t=NyUrvs6fBcf2v-4bFWn1d2shVFqcTNet49S2tlZwJCirKwquU7nTqsVwCeWY6z2oY6uVftzTYa5hiZ-67oBTG_PQXC-C1Xh27OOPcJoVMuBAslPHCIn-y7bztazj2yYHxFlCJc6LU4Z4kX-GIzTRMwO7tASq_rfwUS9FsG7S_zb4HEh7AF8-xDuipsADtIODUNXhgPfkKQwZqXcC2HYS9a9Wnf7cEH-KmuXTS0L-fGmmtSGt7LasuCmrJbn-E1L_bikn,
WS2812B-V5,20,Worldsemi,WS2812B-V5,https://octopart.com/ws2812b-v5-worldsemi-118049409,,Intelligent control LED integrated light source,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20",,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC0402JR-0791RL,2,Yageo,RC0402JR-0791RL,https://octopart.com/rc0402jr-0791rl-yageo-39789824,Res Thick Film 0402 91 Ohm 5% 1/16W ±100ppm/°C Molded SMD SMD Paper T/R,"91 Ohms ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R1, R2",,,20w,Compliant,2,311-91JRCT-ND,603-RC0402JR-0791RL,47AK3865,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,518645,39863,0,,,1,1,10,,,https://octopart.com/opatz8j6/a1?t=aTelrS_E1JHD8cBxwc3ENHdMBsu4ePvL7x_5WlbwqmYzaVam6juvqV6qa60DlMwTOb4pEt41SPVY9-z3WjqLflLGNwJrdoIxoHVJEgAS4o4sfkJyJpEvnj_9UgmXpMovL-Vul5mXb8U69hQ5ik90DmX9bFJy4y16bcZR7BAw7ZO1Q9F8GJiXXPL8ieJQMt9sbk42zLZm7aif225d0J0WQXwViaC-VumGLsCdJMCK3QNJ5XVJiPfZythpjdxBXxQLzLRSpQ,https://octopart.com/opatz8j6/a1?t=s8Y_enqIsETRQFQO30Cio-zoPizquyz4NPQctGP-qgxM-9WkPlGKLh2XuSxX7kNVZfimWse2nUj21wRbl_YFVUvet5ohPXzoT9utVvO3tD1aOUNJyCXJIW8SeYvYEf61VvPugfq6iamxyuanhTk448-FeRyGE_ZP3N-cDBBQHqVUJQ_gE34rTEVRHcymRcYeM-bFAmn7CZecl0HEkIg49Sc_H0qRJbukL97_F17l-cqAD-jXLVtdFFABm8VmzwF2Qh4ZTg0,https://octopart.com/opatz8j6/a1?t=yi2ymcNRHvqMtktR7uxW1dvhlHeOle7hDr9yH7l1xLW8ODtfVFi0r8D3evsdWdVbsMzm2Cw9b5vywW-4rhk1Z9f9KWhwSYlpEiZA8vIDEkTByHmiFr1QrgVgpJDdmuYdNWgcVMe0opoANmKfZWTPyVenf4tbwqI7qJlepCslj-iIv8Veyx2eS90rGfiTxmoyBRnhAxLhLsn30h6ujXrYOCrPbFFdBCkCRpStmglVKvnIfxNQ0miEItqAaNjGuoPH3CSTnKA,,,Mouser,603-RC0402JR-0791RL,Tape & Reel,0.1,0.2,0.2,39863,1,https://octopart.com/opatz8j6/a1?t=s8Y_enqIsETRQFQO30Cio-zoPizquyz4NPQctGP-qgxM-9WkPlGKLh2XuSxX7kNVZfimWse2nUj21wRbl_YFVUvet5ohPXzoT9utVvO3tD1aOUNJyCXJIW8SeYvYEf61VvPugfq6iamxyuanhTk448-FeRyGE_ZP3N-cDBBQHqVUJQ_gE34rTEVRHcymRcYeM-bFAmn7CZecl0HEkIg49Sc_H0qRJbukL97_F17l-cqAD-jXLVtdFFABm8VmzwF2Qh4ZTg0,
RC0402JR-070RP,1,Yageo,RC0402JR-070RP,https://octopart.com/rc0402jr-070rp-yageo-47616050,Res Jumper Thick Film 0402 0 Ohm 5% 1/16W Molded SMD Paper T/R,"0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thick Film",R3,,,20w,Compliant,1,YAG1279CT-ND,603-RC0402JR-070RP,82AH8008,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,6536730,32708,57348,,,1,1,10,,,https://octopart.com/opatz8j6/a1?t=fPmMUnv7sz_0ysTH8-B5YVZKp11Ysn4yGreCmNCkFBOl4tnyIgVMkRHT29lba8L9WrZFaBsPU0YyNbT45AtTaoq9p02QvybtxwrGgyKPMAHIBW74huUn4YSsBOeIk95cET25kkXs5L_kKx87cN2bSGMvIz5FWgJBWldGmeo7im1Q_dNHOXtAgBe_fxdzFOujsyzULkpcB-GpkPkuFxl_Hl8CyV8-mwyI_ZofR2tn8luwgJXgVhMDP0yQTuHNVxlbmON4RQ,https://octopart.com/opatz8j6/a1?t=XWWOYQnkMKrA4ls-ABHz4oUx9SNb-dj7ESun9PQpb1g04ZQ5TxIrrhp2lUxisRmxnQb2GtTJz5VfcDJ727mYETwMG96l2xZxVyqEQAobdH7r71nzVPuIcKbV5tFeDx_-KnSXZis0j9PNyr-aclCEKjHcvy5BLVJ-lRb2POgm6wX_MAgybctcJTLi3OsO71cHDQjFJ07RNHLMmp0oyq227pYqlmT6da4iLmKc-W8Qc9FSBqf1xMG7xhts8DDC6QAURUQZ6UM,https://octopart.com/opatz8j6/a1?t=eotdwbZyN2j4nttASXWzsrLXg2bCkR9z6TpNxnQpzMJ4gTtbsxYjDKidBBkYzmRSUdOIJWhTwGm7HMzj57dXflH51xRBu53YsD-ZaKkdInGbAENmdysKBFn2w4CShdezTaY4NP9I7nSPVl_KQdJ_ENHrrFbP8ww-3_oxjD0von_N0ZNVXHDVWQqoinVOr5bNelqSnhZvuFjq_tiD6b-ityZzcqQYgsbhlP0RMYP_HY-r144T-sxJ2JLQtoDEa6-8pbQDL8Y,,,Mouser,603-RC0402JR-070RP,Tape & Reel,0.1,0.1,0.1,32708,1,https://octopart.com/opatz8j6/a1?t=XWWOYQnkMKrA4ls-ABHz4oUx9SNb-dj7ESun9PQpb1g04ZQ5TxIrrhp2lUxisRmxnQb2GtTJz5VfcDJ727mYETwMG96l2xZxVyqEQAobdH7r71nzVPuIcKbV5tFeDx_-KnSXZis0j9PNyr-aclCEKjHcvy5BLVJ-lRb2POgm6wX_MAgybctcJTLi3OsO71cHDQjFJ07RNHLMmp0oyq227pYqlmT6da4iLmKc-W8Qc9FSBqf1xMG7xhts8DDC6QAURUQZ6UM,
TSOP75438WTR,1,Vishay,TSOP75438WTR,https://octopart.com/tsop75438wtr-vishay-20067415,38 kHz 45 m 2.5-5.5 V SMT IR Receiver Module for Remote Control System,Remote Receiver Sensor 38.0kHz 45m Surface Mount,U1,,,7w,Compliant,1,751-TSOP75438WCT-ND,782-TSOP75438WTR,52Y4866,,,Cut Tape,Tape & Reel,,,,2.08,1.59,,,,11547,3328,0,,,1,1,2300,,,https://octopart.com/opatz8j6/a1?t=zSBZLkRLd7_xx_EVy5v3Pj9rRjEW1UR3t5FRwaSxf8e59_1XJ0Q7gSpSsc_W6qy-n6BCkn6bZK2UNKDcTIlXeq7nLSwfkbIZzDLJKWBqjYHOwLWsttDNQQyffpHRN7mQluZ6-qqhZuGGCoaLFycVJYywABPZ2rlRDOwoabNUTbb7kG8gvtt7kMGZQ9Eu03dCjVLCA_WH0R7j1qzKL_31HNimZ3TYuTpA-vqwRtcYuh41YZPIlWoowc2IW9BW837PMsSQ8Q,https://octopart.com/opatz8j6/a1?t=9L2g9A294tDkVPozwB6meK0CoHWb_CnebNu5kDz3JVZ880m5QbLos0163OnM78NBEvM4t9iFH9fwIpl_ljtzpA2ZVE-8JjwgaZuf41ORd0FVdu4SOLscfzrUgxS1V5lE2QSRpD3iHtu9-nCNexL5GJIzMtFWWBUNmjTeoPffC6aT0ZryUNa5_v9I24sDrPuVSGTsjS-G6dH-4EYHoTtYOqQGNKo1Saw_1UZL4BoCUhMuN4JzFYBVCnBx4_fL_UZMaeBZGw,https://octopart.com/opatz8j6/a1?t=7edIddCli-sA5qk5ifGKgf8KcOZFyl5Hq9EqaU_2n8AOmuY7OckhsvrXbv1Y_DnHfigfBo9NcMShQ3JdGAzyP2YZyhiUJkbIuqknF5ALLrdUyDCZS5AfQZ1ULugTZLzg_FIC1auvvJoTqZb3wRWHQUd0m3JsbVGkQujTP8MdDAhrCNgtqGOMAnLiBZjq078WsqAQ_2c8YWqze26VbQ8oTCM1oZHVu0pldVmKk_xtTpHmjntIpOQTMcViO3sLX953yQQ3f-Y,,,Mouser,782-TSOP75438WTR,Tape & Reel,1.59,1.59,1.59,3328,1,https://octopart.com/opatz8j6/a1?t=9L2g9A294tDkVPozwB6meK0CoHWb_CnebNu5kDz3JVZ880m5QbLos0163OnM78NBEvM4t9iFH9fwIpl_ljtzpA2ZVE-8JjwgaZuf41ORd0FVdu4SOLscfzrUgxS1V5lE2QSRpD3iHtu9-nCNexL5GJIzMtFWWBUNmjTeoPffC6aT0ZryUNa5_v9I24sDrPuVSGTsjS-G6dH-4EYHoTtYOqQGNKo1Saw_1UZL4BoCUhMuN4JzFYBVCnBx4_fL_UZMaeBZGw,
