Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C1         CAPC100X50X65          10.6mm         8.7mm        10.6mm         8.7mm        10.6mm       8.095mm  B         90.00 10u            
C2         CAPC100X50X65         6.375mm        11.5mm       6.375mm        11.5mm        6.98mm        11.5mm  T        180.00 10u            
C3         CAPC100X50X65          16.9mm      14.045mm        16.9mm      14.045mm        16.9mm       14.65mm  B        270.00 10u            
C4         CAPC100X50X65          41.9mm      14.045mm        41.9mm      14.045mm        41.9mm       14.65mm  B        270.00 10u            
C5         CAPC100X50X65          66.9mm      14.045mm        66.9mm      14.045mm        66.9mm       14.65mm  B        270.00 10u            
C6         CAPC100X50X65          91.9mm      14.045mm        91.9mm      14.045mm        91.9mm       14.65mm  B        270.00 10u            
C7         CAPC100X50X65         116.9mm      14.045mm       116.9mm      14.045mm       116.9mm       14.65mm  B        270.00 10u            
C8         CAPC100X50X65         141.9mm      14.045mm       141.9mm      14.045mm       141.9mm       14.65mm  B        270.00 10u            
C9         CAPC100X50X65         166.9mm      14.045mm       166.9mm      14.045mm       166.9mm       14.65mm  B        270.00 10u            
C10        CAPC100X50X65         191.9mm      14.045mm       191.9mm      14.045mm       191.9mm       14.65mm  B        270.00 10u            
C11        CAPC100X50X65         216.9mm      14.045mm       216.9mm      14.045mm       216.9mm       14.65mm  B        270.00 10u            
C12        CAPC100X50X65         241.6mm        16.6mm       241.6mm        16.6mm     240.995mm        16.6mm  B        360.00 10u            
C23        CAPC100X50X65         234.7mm          13mm       234.7mm          13mm       234.7mm      12.395mm  B         90.00 100n           
C24        CAPC100X50X65         233.7mm         8.8mm       233.7mm         8.8mm     234.305mm         8.8mm  T        180.00 100n           
D2         LED_VLMU3100-GS08       244.5mm        14.9mm       244.5mm        14.9mm       244.5mm      13.475mm  B         90.00 LED            
J2         CONN_0522711279         5.2mm          13mm         5.2mm          13mm       6.375mm         7.5mm  B         90.00 0522071233     
LED1       LED_WS2812B-B          12.5mm          13mm        12.5mm          13mm       14.95mm       14.65mm  B        180.00 LED_WS2812B-B  
LED2       LED_WS2812B-B          37.5mm          13mm        37.5mm          13mm       39.95mm       14.65mm  B        180.00 LED_WS2812B-B  
LED3       LED_WS2812B-B          62.5mm          13mm        62.5mm          13mm       64.95mm       14.65mm  B        180.00 LED_WS2812B-B  
LED4       LED_WS2812B-B          87.5mm          13mm        87.5mm          13mm       89.95mm       14.65mm  B        180.00 LED_WS2812B-B  
LED5       LED_WS2812B-B         112.5mm          13mm       112.5mm          13mm      114.95mm       14.65mm  B        180.00 LED_WS2812B-B  
LED6       LED_WS2812B-B         137.5mm          13mm       137.5mm          13mm      139.95mm       14.65mm  B        180.00 LED_WS2812B-B  
LED7       LED_WS2812B-B         162.5mm          13mm       162.5mm          13mm      164.95mm       14.65mm  B        180.00 LED_WS2812B-B  
LED8       LED_WS2812B-B         187.5mm          13mm       187.5mm          13mm      189.95mm       14.65mm  B        180.00 LED_WS2812B-B  
LED9       LED_WS2812B-B         212.5mm          13mm       212.5mm          13mm      214.95mm       14.65mm  B        180.00 LED_WS2812B-B  
LED10      LED_WS2812B-B        239.35mm          13mm      239.35mm          13mm       241.8mm       14.65mm  B        180.00 LED_WS2812B-B  
LED11      LED_WS2812B-B        239.35mm          13mm      239.35mm          13mm       236.9mm       14.65mm  T          0.00 LED_WS2812B-B  
LED12      LED_WS2812B-B           225mm          13mm         225mm          13mm      222.55mm       14.65mm  T          0.00 LED_WS2812B-B  
LED13      LED_WS2812B-B           200mm          13mm         200mm          13mm      197.55mm       14.65mm  T          0.00 LED_WS2812B-B  
LED14      LED_WS2812B-B           175mm          13mm         175mm          13mm      172.55mm       14.65mm  T          0.00 LED_WS2812B-B  
LED15      LED_WS2812B-B           150mm          13mm         150mm          13mm      147.55mm       14.65mm  T          0.00 LED_WS2812B-B  
LED16      LED_WS2812B-B           125mm          13mm         125mm          13mm      122.55mm       14.65mm  T          0.00 LED_WS2812B-B  
LED17      LED_WS2812B-B           100mm          13mm         100mm          13mm       97.55mm       14.65mm  T          0.00 LED_WS2812B-B  
LED18      LED_WS2812B-B            75mm          13mm          75mm          13mm       72.55mm       14.65mm  T          0.00 LED_WS2812B-B  
R1         RESC0402              237.4mm          17mm       237.4mm          17mm       237.4mm        16.5mm  B         90.00 91R            
R2         RESC0402              239.7mm          17mm       239.7mm          17mm       239.7mm        16.5mm  B         90.00 91R            
R3         RESC0402              233.7mm        10.2mm       233.7mm        10.2mm       233.2mm        10.2mm  T        360.00 0R             
U1         TSOP75438WTR       244.2377mm     12.9061mm    244.2377mm     12.9061mm    244.2377mm     11.0011mm  T        270.00 TSOP75438WTR   
U2         SC59-3                232.2mm          13mm       232.2mm          13mm      233.15mm        11.8mm  B        180.00 AH1913-W-7     
D1         LED_SFH_4045N      244.3347mm        10.2mm    244.3347mm        10.2mm    244.3347mm       11.55mm  B        270.00 LED            
LED19      LED_WS2812B-B            50mm          13mm          50mm          13mm       47.55mm       14.65mm  T          0.00 LED_WS2812B-B  
LED20      LED_WS2812B-B            25mm          13mm          25mm          13mm       22.55mm       14.65mm  T          0.00 LED_WS2812B-B  

